Name;Relatiecode
Hageland (000218);L017
Kapitein Gilson (000260);L018
Kensington (000267);L019
Aurum (000619);L020
Lat 1 (000290);L021
Lat 3 (000291);L022
Lat 4 (000292);L023
Lat 5 (000293);L024
Leuvensesteenweg (000300);L025
Minnepoort (000330);L026
Oxford & Cambridge (000359);L027
Berkenhof (000579);L028
Den Tympel (000161);L029
Rio (000384);L030
Tiensestraat 94 (000461);L031
Tiensestraat 147 (garages)- (000460);L032
Vilvoorde - Steenvoorde (000489);L033
Gemeentestraat 246 (000206);L035
PIT (000375);L036
Roerstok I (000389);L037
Leigracht (000296);L038
Roerstok III (000390);L039
Laloux (000288);L040
Hombroeckx (000242);L041
Lido Paradiso (000670);L043
Lotus (000308);L044
De Vijvers (000150);L045
Saspark II (000401);L046
Haachtsesteenweg 508-510 (000217);L047
Haachtsesteenweg 506 (000216);L048
Edward Van Evenstraat 25 (000180);L049
Mathilde (000322);L050
Fontes II (000200);L051
Vriesenpoort (000498);L052
Edouard Remyvest (000179);L053
Ter Wilgen (000454);L054
Pegase (000372);L055
The Kwint (000459);L056
Steenweg op Nieuwrode (000440);L057
Interbellum (000246);L058
Vesalius - Gebouw A (000473);L059
Vesalius - Gebouw BCD (000474);L061
Vesalius - Gebouw GHI (000475);L062
Vesalius - Gebouw T (000477);L064
Vesalius - Hoofdvereniging (000478);L065
Vesalius - Ondergrondse parkings (000479);L066
't Witte Huis (000010);L067
4 Winden (000011);L068
Michelangelo (000328);L069
Marteau Longe 1 (000321);L070
Josephina (000251);L071
Corbie (000081);L073
Joly Vent (000250);L074
Vrouwley (000499);L075
Maarten (000313);L076
Leo (000298);L077
Mimosa (000329);L080
Lisette (000305);L081
Memling (000326);L082
Paulus (000371);L083
Saffranenbergstraat (000396);L084
Borgtstraat 14/16 (000577);L085
De Lelie assistentiewoningen (000121);L086
Justus Lipsius (Leuven) (000253);L087
Villa Rodez (000487);L088
Wijgmaalsesteenweg 14-18 (000508);L089
De Distillerie (000101);L090
Rector De Somerplein 3 (000382);L091
Ter Eiken (000691);L092
Ter Eiken;L092
Robijn (000385);L093
Panorama (leuven) (000362);L094
Halleboom Ofkoors (000220);L095
Princen (000378);L096
Leybeke (000301);L097
Flox Meadow (000198);L098
Vigo (000482);L099
Vlierbeekveld (000493);L100
Helleborus (000230);L101
Ferdinand Perdieusstraat 10 (000196);L102
Ligero (000603);L104
Petrushof II;L105
Egelantier Meadow (000841);L107
Egelantier Meadow;L107
Iris Meadow (000248);L108
Jasmijn Meadow (000249);L109
Hortensia Meadow (000243);L110
Sint - Hubertus (Tervuren) (000413);L111
Universe (000697);L112
Ralisbroek - (000379);L113
Cappellenhof (000067);L114
Het Molenhof (Holsbeek) (000235);L115
Stationsstraat 74 (000438);L116
Arboretum (000031);L117
Witte Toren (000514);L118
Saspark I (000400);L119
Tramlaan 87-89-91 (000624);L120
De Blijde (000096);L121
Sint-Maarten (000420);L122
't Broeck (000001);L123
De Gilden (000110);L124
Oasis (000698);L125
Cecile (000074);L126
De Weldaad (000153);L127
De Bakeleyn (000087);L128
Delvaux;L129
VME Delvaux  te Leuven, Donkerstraat 1;L129
Molen van Rotselaar (000333);L130
Sagane (000397);L131
Tervuren (000455);L132
Kamiel De Kelver (000257);L133
Arescot (000032);L134
Keyhof GAW  (000571);L136
Zilverwit blok A (000581);L137
Zilverwit blok B (000583);L139
Zilverwit blok C (000584);L140
De Lelie Meadow (000582);L141
Porta Lupina (000595);L142
Postkoets (000602);L143
Koetshof (000275);L143
Bierenbeek (000596);L144
Aqua Lova (000605);L145
Zilverwit blok D-E-F (000611);L146
Zilverwit Parkeergarages (000599);L147
Dagobert (000616);L148
't Pleintje (Duisburg) (000621);L149
La Fabrica;L150
Dorpsstraat 123 (000615);L151
Populierenhof (000626);L152
De Broek (000620);L153
Steenokkerzeelstraat (000832);L154
Aarschotsesteenweg 297 (000629);L155
Diestsestraat 97-99 (000633);L156
Diestsestraat 101 (000632);L157
Diestsestraat - Lepelstraat (000823);L158
Zilverwit Hoofdvereniging (000658);L159
Rigessel (000656);L161
Bottelarij Sluisstraat;L162
Wingerpark (000659);L163
Orleanshof (000660);L164
Flandrien (000668);L165
De Ierse (000663);L168
Arenberg (000662);L169
Jools (000839);L170
Jools (000839;L170
De Linde I & II (000665);L171
De Linde I en II;L171
't Convent - De Hopman (000677);L172
't Convent - De Jonker (000678);L173
't Convent - De Novice (000679);L174
't Convent - De Prefect (000680);L175
't Convent - Garagecomplex (000681);L176
't Convent - Hoofdvereniging (000682);L177
Felice (000667);L178
De Twaalf (000699);L179
Martin (000672);L180
De Torens - Garagecomplex (000702);L182
De Blijde Inkomst (000852);L187
De Blijde Inkomst;L187
Sarah (000834);L188
Sarah;L188
Andrea (000854);L189
VERENIGING VAN MEDE-EIGENAARS RESIDENTIE ANDREA TE BOUTERSEM LEUVENSESTEENWEG 347-349;L189
Albert I;L190
Sluismolen;L191
Concordia (000852);L195
Lebrun (000837);L196
Kruisboog (000838);L197
Karekiet;L205
Dahlia Meadow;L212
Vereniging van mede-eigenaars van het gebouw Residentie Hertogenpark blok 5 te 3001 Leuven (Heverlee), Hertogstraat 149;L217
E - DE BERK;R004
De Berk;R004
E - SUMMERSET;R051
E - DEN OEVER;R056
R - DEN OEVER;R056
E - DEN BEEMD;R068
Den Beemd;R068
E - HEERENBOS;R076
ZZ - HEERENBOS;R076
E - DE TUINEN VAN HERENTALS;R087
De Tuinen Van Herentals;R087
E - SASAARD;R089
E - KESSEL-DORP 71-73;R099
E - KEYSERSHOF;R100
E - PARKING GROTE MARKT LIER;R101
Parking Grote Markt Lier;R101
E - ZIMMER II;R102
E - ZIMMER I;R103
E - ANTWERPSESTEENWEG 167-169;R104
E - DE BEZEM;R106
E - DE PLANEET;R107
De Planeet;R107
E - SINT-JOZEF;R108
Sint Jozef;R108
E - DAGERAADSTRAAT 1-3-5;R109
Dageraadstraat 1-3-5;R109
E - DE EIK - LIER;R110
E - RAMSELSESTEENWEG;R111
Ramselsesteenweg;R111
R- RAMSELSESTEENWEG;R111
E - LINDEKENS;R112
E - 'T JUWEEL;R113
t Juweel;R113
E - DE ES;R114
E - FRISINE;R115
Frisine;R115
E - DE VAART;R116
De Vaart;R116
R - DE VAART;R116
E - SUIKERTORENHOF;R121
E - DE BEUK;R123
X- ZILVERVESTEN HOOFDVERENIGING;R126
Zilvervesten Hoofdvereniging;R126
X- ZILVERVESTEN BLOK B deelvereniging;R127
X- ZILVERVESTEN GARAGECOMPLEX deelvereniging;R128
Zilvervesten Garagecomplex deelvereniging;R128
E - D'OUDE POST;R138
ZZ - D'OUDE POST;R138
X- WOONERF JEF LEFLOT;R142
Woonerf Jef Leflot;R142
E - ANEMOON - 14;R146
R- ANEMOON - 14;R146
E - LOSTRAAT 40;R147
Lostraat 40;R147
T- DUNGELHOEFF PARKVILLA'S;R150
Dungelhoeff Parkvilla's;R150
T- VILLA LEMAN;R151
Villa Leman;R151
T- VILLA VAUTIER;R152
Villa Vautier;R152
T- ONDERGRONDSE PARKEERGARAGE DUNGELHOEFFSITE;R153
E - LAETITIA;R156
Laetitia;R156
E - HET COLLEGE;R160
T- VILLA ENGELEN;R161
Villa Engelen;R161
E - DE DUINEN;R164
E - DAGERAADSTRAAT 9;R165
UB - PULLOO;R169
Pulloo;R169
E - BERLAARSESTRAAT 44-46;R172
Berlaarsestraat 44-46;R172
E - ZONSTRAAT 44;R179
E - GROTE MARKT EIKELSTRAAT;R180
E - ANEMOON - 16;R197
R - ANEMOON - 16;R197
E - 'T PALLIETERSHOF;R211
R- 'T PALLIETERSHOF;R211
E - HET HOF - HV;R213
E - HET HOF - UNIT 2;R214
E - HET HOF - UNIT 3;R215
E - HET HOF - Ondergrondse garagebouw;R216
E - DE OLM;R224
V- VONCKIET I & II;R241
E - NEFFEST DE BEUNT;R243
E - BEDRIJVENPARK RUGGEVELD;R249
R - BEDRIJVENPARK RUGGEVELD;R249
V - VIANEN  (ROMA);R253
VERENIGING VAN MEDE-EIGENAARS RESIDENTIE ROMA TE TURNHOUT KORTE VIANENSTRAAT 35;R253
E - PIETER EN PAUWEL;R258
E - CATHARINA;R261
R- CATHARINA;R261
E - DE TOEKOMST;R262
E - MECHELSESTEENWEG 101 - 103;R269
Mechelsesteenweg 101-103;R269
E - ASTRID I;R271
E - LIERHOF;R272
E - LIERHOF BLOK 2 (Eeuwfeestlaan 205);R273
E - LIERHOF BLOK 1;R274
E - LIERHOF ONDERGRONDS GARAGECOMPLEX;R275
E - BEDRIJFSVERZAMELGEBOUW BERGEBEEK B01 EN B02;R276
E - HANDBOGENHOF;R280
Handbogenhof;R280
E - DE SMEDERIJ;R283
E - MECHELSESTEENWEG 235-241;R285
Mechelsesteenweg 235-241;R285
E - MECHELSESTEENWEG GARAGECOMPLEX;R286
E - DE COURTOIS (Kapelleveldstraat 61-63);R287
De Courtois;R287
E - GARAGES VAN BAERLANDT;R288
E - VAN BAERLANDT;R289
E - GARAGE BOOMLAARSTRAAT I;R299
E - GARAGE BOOMLAARSTRAAT II;R300
*E* - REYENHOF;R301
VME Reyenhof;R301
E - REYENHOF;R301
*E* - CENTRO;R305
E - CENTRO;R305
E - BEDRIJFSVERZAMELGEBOUW ABTSDREEF A-B;R306
E - SOLLEVELDEN 65 - 67;R310
E - REGENT;R317
*E* - AMARYLLIS;R318
E - AMARYLLIS;R318
Leon;R326
E - LEON;R326
Beregoed;R332
*T* - DOMEIN  BERENGOED;R332
Abelenstraat 6;H002
De Kaai;H087
De Rederijker;H143
Hoefstad;H226
Leyndecker 2;D131
Albert l;L190
Bierenbeek;L144
Catharina (Holsbeek) (000853);L198
Marteau Longe I;L070
Universe;L112
Warandepark (000503);A002
YOU;L221
Voghelensanck;L208
HOEK VIOLETSTRAAT - ELSUM;G139
HOOGLAND;G178
XANTENSTRAAT 40;G003
ACHTERBOS 2021;G263
ALEIDIS;G198
AMANDUS;G200
ASTRIDLAAN 23;G070
BEDRIJFSUNITS HEZEMEER;G194
BEDRIJVENCENTRUM SAS 8;G181
BELFAST;G081
BORIS;G020
BOURG-LEOPOLD;G246
BOVENRIJ 48;G173
BRESSERDIJK  11-13;G117
BRESSERDIJK 17 (Vilma);G157
CAMPANIL;G270
CAROLUS;G148
COOLS;G167
DE BIST;G080
DE BURCHT;G170
DE BUSSER;G239
DE DREEF;G037
DE EIK - GEEL;G227
DE GROENE EIKEN;G061
DE HEPPENAAR;G314
DE KASTELEIN;G145
DE KROON;G027
DE KRUIER;G097
DE LINDE;G254
DE MIJLPAAL;G277
DE MOLDER;G135
DE MUS;G132
DE PAS (Pas 144);G312
DE PASTORIE - GEEL;G066
DE PASTORIJ - LAAKDAL;G008
DE RODE AKKERS BEDRIJFSUNITS;G265
DE STEEN;G090
DELA;G296
DEN ACHTERSTEN MEY;G054
DEN DIJK;G340
DORP 38;G057
DR VANDEPERRESTRAAT;G019
EBENORA II;G235
EBENORA III;G325
ELSUM;G315
ELSUM 16;G032
ESAERT;G023
ESMOREIT;G163
EUROPAWIJK 2-4;G297
EUROPAWIJK 6-12;G242
FEHRENBACHSTRAAT 31-45;G071
GASTHUISBOSSTRAAT;G233
GEMINI I;G323
GEMINI II;G324
GEREBERNUS;G196
GERHAGEN;G088
GESTELSESTEENWEG 141;G073
GREENPARK;G306
GROTE MARKT 34;G072
GUESTHOUSE;G045
HELDENHOF;G137
HERENTHOUTSEWEG 59-61;G149
HERMELYN;G264
HET CENTRUM;G064
HET GROENE EILAND;G041
HET HEIKE;G047
HET KATERKE;G302
HET LAAR II;G040
HET WOONHOF BLOK 2;G185
HET WOONHOF BLOK 3 A;G186
HET WOONHOF BLOK 3 B;G187
HET WOONHOF BLOK 3 C;G188
HOOGVELD;G231
JADE;G048
JADE 2;G159
JOANNA - EMILIA;G321
KABIENE;G122
KABIENSTRAAT;G044
KAPELPLEIN;G234
KATTESTRAAT 22;G252
KLOOSTERSTRAAT 11;G182
LAARSHOEK;G079
LAVENDELHEIDE;G017
LEBON;G219
LERM;G052
LICHTPUNT;G251
LIERSE STEENWEG 26;G136
LOGEN 47;G226
LOOZE;G046
LUNA;G005
LYNX;G266
MARBER;G143
MARKTZICHT;G201
MARTINUS;G322
MEULEVELDHOEK;G013
MIDDENSTAND;G176
MISPAD;G002
MOESTOEMAATHEIDE BEDRIJFPARK;G014
MOLENHOF;G077
NEERSTRAAT 53;G069
OP 'T HOOGZAND;G209
OSSESTRAAT;G202
PALLO 2020;G204
PAND 6;G311
PARK LANE HASSELT FASE 3;G282
PAS 127-129 (DE PAS);G078
PAS 71/77 (CADOT);G094
PASTORIJ;G307
PLEKIJZER;G155
PORTUS;G063
PRINSENPLEIN - BLOK A;G313
PRINSENPLEIN - BLOK B;G316
PYRAMIDYS;G016
QUADRANT;G190
RECTOR DE RAMSTRAAT  2;G042
RESIDENCIA ARRIBA;G131
RESIDENTIE 99;G255
REYCKMANS I;G303
REYCKMANS II;G304
ROEPERSTRAATJE 1-7;G175
ROMANO - BLOK A;G290
ROMANO - BLOK B;G291
ROMANO - BLOK C;G292
ROMANO - HV;G293
ROMANO - PARKEERVERDIEPING;G294
ROOSENDAEL;G067
RUE NEUVE;G320
SINT PAULUSSTRAAT 62-64;G295
SINT PIETER HERENTHOUT;G203
SINT-JOZEF;R108
SMIDJE SMEE;G221
SOERLE PLUS;G189
STATION;G009
STATIONSSTRAAT 159 - GEEL;G130
STATIONSSTRAAT 33-35;G074
STEENBERG;G284
't ANKER;G140
't DORP;G232
't HOEKSKE;G010
't LAAR;G036
't POORTHUYS;G025
't PUNT;G162
't VELD;G034
't WOUWT;G012
TECHNISCHE SCHOOLSTRAAT;G053
TELESTO;G001
TEN BOSSE;G134
TER DONK;G093
TER SMIDSE;G120
TER VOORDE;G343
THOMAS;G212
TORENZICHT 2;G240
VAERENHOF;G229
VEERLESEWEG;G192
VELDHOVEN;G199
VELODROOMSTRAAT;G015
VIOLET;G038
VISPLUK 17 VORSELAAR BEDRIJFPARK;G207
VONCKIET I & II;R241
VOSSENBERG;G281
WAAIBURG;G124
WETERINGSTRAAT 1-3-5;G268
WILLEM II;G236
ZANDBERG;G298
ZILVERDORP;G191
ZONNEWEELDE (Runkstersteenweg 76);G260
DE VAART;R116
03SHIFT LIER BLOK C;R336
AMARYLLIS;R318
ANEMOON - 14;R146
ANEMOON - 16;R197
ANTWERPSESTEENWEG 167-169;R104
ASTRID I;R271
BEDRIJFSVERZAMELGEBOUW ABTSDREEF A-B;R306
BEDRIJFSVERZAMELGEBOUW BERGEBEEK B01 EN B02;R276
BEDRIJVENPARK RUGGEVELD;R249
CATHARINA;R261
CENTRO;R305
DAGERAADSTRAAT 9;R165
DE BEUK;R123
DE BEZEM;R106
DE COURTOIS (Kapelleveldstraat 61-63);R287
DE DUINEN;R164
DE EIK - LIER;R110
DE ES;R114
DE OLM;R224
DE SMEDERIJ;R283
DE TOEKOMST;R262
DEN OEVER;R056
DOMEIN  BERENGOED;R332
GARAGE BOOMLAARSTRAAT I;R222
GARAGE BOOMLAARSTRAAT II;R300
GARAGES VAN BAERLANDT;R288
GROTE MARKT EIKELSTRAAT;R180
HET COLLEGE;R160
HET HOF - HV;R213
HET HOF - Ondergrondse garagebouw;R216
HET HOF - UNIT 2;R214
HET HOF - UNIT 3;R215
KESSEL-DORP 71-73;R099
KEYSERSHOF;R100
LEUVENSEPOORT;R342
LIERHOF BLOK 1;R274
LIERHOF BLOK 2 (Eeuwfeestlaan 205);R273
LIERHOF HV;R272
LIERHOF ONDERGRONDS GARAGECOMPLEX;R275
LINDEKENS;R112
MECHELSESTEENWEG 101 - 103;R269
NEFFEST DE BEUNT;R243
ONDERGRONDSE PARKEERGARAGE DUNGELHOEFFSITE;R153
PIETER EN PAUWEL;R258
RAVENSLO;R333
REGENT;R317
REYENHOF;R301
SASAARD;R089
SOLLEVELDEN 65 - 67;R310
SUIKERTORENHOF;R121
SUMMERSET;R051
'T JUWEEL;R113
'T PALLIETERSHOF;R211
VAN BAERLANDT;R289
VIANEN  (ROMA);R253
ZIMMER I;R103
ZIMMER II;R102
ZONSTRAAT 44;R179
Residentie Brouwershaven;L209
Ecodroom ABIS (000176);H243
Ecodroom A (000175);H014
Dorenberg;000268
Ecodroom Parking (000178);H048
Co�me;H318
Willy;225
Hertogenpark Domein;000275
No�;H315
Petrushof Hoofdvereniging;214
Delorge Businesspark I (000651);H297
Schoonaerde;D088
Mi Casa;000200
Brabantshof (000060) (niet meer in beheer);D011
PHARMACIE;R339
LOKERENSTRAAT 86 -88;R331
03SHIFT LIER HV;R338
03SHIFT LIER ONDERGRONDSE PARKING;R337
03SHIFT LIER BLOK A;R334
03SHIFT LIER BLOK B;R335
Kempenheide - Trichterheide Garages;219
La Vida;H317
Op't Steent;H320
Rozendael;H316
Saffier;H224
Djef Swennestraat;H134
Wannes;H012
Brusello;H236
De Keyzer;D022
Alhambra;000278
Alverman;249
Andrea;L189
Archiv 0.1;228
Arcus;236
Artemis;000285
Astrid;L207
Bareel Appartementen Complex (000860);L203
Bareel Gebouw A (000856);L199
Bareel Gebouw B (000857);L200
Bareel Gebouw C (000858);L201
Bareel Gebouw D (000859);L202
Bareel Kelderverdieping (000861);L204
Belle Vue II;000282
Binnenhof Leuven;000286
Bredero;260
Brouwershaven;L209
Brouwmeester;268
De Mes;255
De Torens - Elias (000846);L183
De Torens - Nevis (000666);L166
De Torens - Zagros (000676);L167
Den Olm;L222
Den Tympel;L029
Den Tympel II (000843);L192
Edelweiss (000842);L194
Ella;256
Jordaens;234
Keyberg;000279
Mistral;000283
Mont� Domus;271
Oud Zwembad;206
Papenakker;L218
Park 51 Gebouw D;L219
Petrushof I;235
Poortvelden;269
Ramberghof;252
Route 68;000289
Schoolstraat;L223
Terra Verde;254
Vaartstraat;224
Cartijnenveld � Cartijnenveld B5;000288
Welvaart;000290
ASTER;270
DE MAALDERIJ;G360
DE NEERPOORT;G356
DE PASTORIE LAAKDAL- Meerlaarstraat;G008
DE PASTORIJ - LAAKDAL- Kapellestraat;G066
HARMONIE;G353
KAPELPLEIN FASE 2;G347
LEOPORT;G351
MINERVA;D125
MOLENSTRAAT;G355
OUDE MOLEN;G309
PASTORIJ - KASTERLEE - Melkstraat ;G307
SFERA;217
STEPHANIA;G352
THE OAK HOUSE;G348
VILLA PALLO;G328
VOORTHOEK;G346
CENTRE VILLE;R329
TORENZICHT NIJLEN;R341
WOONERF MARIEKE;R350
ZZ_DR VANDEPERREHOF;G174
DE RASOP;G059
ZZ_WETERINGSTRAAT 1-3-5;G268
PASTORIJ - KASTERLEE - Melkstraat;G307
ZZ_DELA;G296
MOLENSTRAAT GEEL;G355
ZZ_FRISINE;R115
TINEKE;R372
SWAEN;G354
YASMINE;G363
't DORP LAAKDAL;G232
SALIS;G370
PARK 'T BOSKE;G366
Geertrui;262
Esplanade I;000287
Hertogenpark fase 5 blok VI en VII (137);000129
Milda - Blok C;266
Milda- Blok B;265
Mechelsesteenweg 97-99;000292
Delorge Businesspark II (000652);H298
Kuringersteenweg 283;282
Milda - Blok A en Blok D;264
Studeopolis;279
Rhena;H144
Orange Lofts  (000352);D043
Capucien;289
Parc Du Soleil;284
Milda Hoofdvereniging;240
De Vilhoek;H321
Kapelhoek;H090
Jack (niet meer in beheer);000114
Binnenhof Uitbreiding;000143
Grote Markt Koning Albertstraat (000211);H063
Schuurmansbos (000590) (niet meer in beheer);D113
Aan de Markt;D003
De Keyzer (niet meer in beheer);D022
Flandrien (000668) (niet meer in beheer);L165
Halleboom Ofkoors (000220)(nietmeerinbeheer);L095
Lat 1;L021
Terra Verde (niet meer in beheer);254
Villa Rodez (000487) (niet meer in beheer);L088
Belisiahof I en II;H015
Harpstraat 13 (000223) (niet meer in beheer);H248
Milda Blok A en Blok D;264
ZZ_GROENVELD;G168
ZZ_HULSTERPARK;G060
ZZ_CENTRO;R305
R 285 MECHELSESTEENWEG 235 - 241;R285
KORENPLEIN HV;302
MOLENHOF MKH;311
VINKENHOF;000299
DAMN (SAMBER);314
MECHELSESTEENWEG 235 - 241;R285
ZZ_DE SMEDERIJ;R283
DE BEMME;322
HEULTJEDORP 17;G358
KLEIN BRUSSEL;323
Berkenbos (000046) (niet meer in beheer);H193
De Pastorij (000131) (niet meer in beheer);H057
ZZZ - Begijnenstraat 44 (000041) (niet meer in be);D008
ZZZ - Hombroeckx (000242)(niet meer in beheer);L041
Villa Aragone;000309
Park 51 - Zone A;258
KORENPLEIN A;301
STADSPOORT;342
ZZZ_CATHARINA (uit beheer);R261
LIERHOF BLOK 1 (Eeuwfeestlaan 203 + 207);R274
ZZ_DE TOEKOMST;R262
Donatello (000169);H324
Julianus;303
HUB01-02;340
Sixteen;349
NOOR;000323
't DORP WESTERLO;000295
PANNENHUIS;354
Spelver;000310
Ambachtenlaan 40;350
Cartijnenveld;000288
Schreurs;328
Coëme;H318
Taïga (000674);H294
De Ruïne (000140);D111
Campus Vital;261
Monté Domus;271
Cartijnenveld – Cartijnenveld B5;000314
Noë;H315
Jubilé (000252);D045
"Op""t Steent";H320
Statiestraat 15 – 17 (000435);D055
Kolmen (niet meer in beheer);D106
Arcus (niet meer in beheer);236
Kruisboog (000838) (niet meer in beheer);L197
Jef Denijn;000184
Woods (niet meer in beheer);229
Solier (000426) (niet meer in beheer);H267
PARK51 - Gebouw B (niet meer in beheer);246
Universe (niet meer in beheer);L112
Kasteel Nieuwenhoven Nieuw (niet meer in beheer);H304
Bloesemhof (000703) (niet meer in beheer);H157
t Kroontje, Beverlo (000444) (niet meer in beheer);D060
Cappellenhof (000067) (niet meer in beheer);000106
Kluisberg (000669) (niet meer in beheer);D123
Aquarius (000030) (niet meer in beheer);D081
ZZZ - Vlierbeekveld (uit beheer) (000493);L100
Villa Meurkenshof (000486)(niet meer in beheer);H119
Monte Nero (000578) (niet meer in beheer);H261
ZZZ Diestsestraat - Lepelstraat (000823) (niet me);L158
ZZZ - Bevrijdingsstraat 35 (000047) (niet meer in);D009
Veldmansberg- (000471) (niet meer in beheer);H191
Lotus (000308) (niet meer in beheer);L044
Hertogenpark fase 4 blok V (139);L216
Stationsstraat 74 (niet meer in beheer);L116
ZZZ - Kuringersteenweg 440 (000284) (niet meer in);H102
Cecile (000074) (niet meer in beheer);L126
De Schacht (000141) (niet meer in beheer);H152
Martin (000672) (niet meer in beheer);L180
Demerwoningen (000631) (niet meer in beheer);D116
Veldeken Hoofdvereniging;356
ZZZ - Catharina (Holsbeek) (000853) (niet meer in);L198
Schoolstraat (niet meer in beheer);L223
Kampveld (000591) (niet meer in beheer);H256
Dorpstraat Hasselt (000172) (niet meer in beheer);H268
Hertogenpark fase 1B Blok II (147);L214
Kempische steenweg 308;H314
De Blijde (000096) (niet meer in beheer);L121
De Gilden (000110) (niet meer in beheer);L124
Hertogenpark fase 2 blok III (143-145);L215
Guido Gezellestraat 11 (000594) (niet meer in behe;D079
De Ierse (000663) (niet meer in beheer);L168
Hertogenpark fase 1A blok I (149);L213
De Weldaad (000153) (niet meer in beheer);000135
Esplanade I (niet meer in beheer);000287
Ernest Claesstraat 2 (000194) niet meer in beheer;D094
De Mouterij (000127) niet meer in beheer;D024
Esplanade II-III (niet meer in beheer);259
Hertogenpark fase 3 blok IV (141);L217
Blandenstraat 77 (niet meer in beheer);L004
Kempenstraat 70 (000263) (niet meer in beheer);H076
De Square Garages (000148);H168
Remy Kantorencomplex;362
Felice (000667) (niet meer in beheer);L178
Helstraat 4- (000231) (niet meer in beheer);H073
Eikelenberg (000184) (niet meer in beheer);D069
Lebrun (000837) (niet meer in beheer);L196
Liemingen;353
't Broeck (000001) (niet meer in beheer);L123
Mantelius;000294
College House;358
Wijckmans 1-3;000304
Park-Lane (Herent);000151
VME YOU;L221
VME Schreurs;328
NOTENLAER;G119
VME (deelvereniging) gebouw A residentie Bareel te Kortenberg, Bareelplein 1;L199
Residentie Hertogenpark blok 5 (139);L216
Hertogenpark Blok 3 (143-145);L217
Hertogenpark Blok 6 & 7 (137);000129
Centre Ville;R329
R - LIERSVELD;G043
L - 'T DORP;G232
Torenzicht Nijlen;R341
Tineke;R372
De Draaiboom;000326
Residentie 21;306
R - TER DONK;G093
Residentie Luster;000327
R - ROEPERSTRAATJE 1-7;G175
Van Twembeke Anja;000045
De Vylder Paul;000060
Smolders Maarten;000044
Simons Patrick;000065
Dokter Isabelle Reyntjens Bv;000038
Cuypers Marie Lynn;000076
Baert Jan;000053
Nina Miladinovic;000328
Alexandra Criveanu;000329
Guo Yizuo;000330
Ayla Ermers;000331
Johan Vanaken;000332
Marianna Bartrick Krana;000333
Patrick Maina Ngibuini;000334
Semen Shmalko;000335
Bindiya Modhvadia;000336
Dakota Rebecca Lafaille;000338
Öykü Güleç;000337
Aboubacar Balde;000339
Jamila Majidova;000340
Jinggui Wang;000341
Cennet Inceoglu;000342
Hélène Kaddari Vergote;000343
Lotte Schoofs;000344
Huang Haorun;000345
Kaat Van Hoof;000346
Nys Roger;000347
RESIDENTIE EBENORA III;G325
Residentie Binnenhof Leuven;000286
VME Residentie Geertrui te Leuven, Mechelsestraat 155;262
ARTEBEAU BV;000348
Vereniging van mede-eigenaars Residentie JOANNA - EMILIA;G321
Residentie Astrid;L207
VME Residentie PARK 51 - Gebouw D te Herent, Persilstraat;L219
Residentie Dorpsdreef;H106
Residentie Teutonenpark;000322
"Residentie ""WONEN OP DE HEIDE""";000349
VME Veldeken Hoofdvereniging;356
Wuyts Robin;000018
Boncquet Jan;000039
Czarnitzki Dirk;000040
Derua Frans;000033
Griet Van Laethem;000067
Haentjens Gina;000020
Jurgen Asselberghs;241
O&S BV;281
Lieve Cappelle;000350
Li-Ren;000077
Michiels Eliane - Peeters André;000054
Mieke Demey;000068
Nele Weyens;000029
NV RBM Services BE 0456.432.411;000016
Peeters Christel;000049
Van Crombrugge Ethel;000073
Van Hemelrijck;000047
Van Molhem Sylvie;000069
Vanhoof Alice;000023
Walgraeve Daan;000059
Willems Rudi;000064
Bareel (hoofdvereniging);L203
Residentie College House;358
De Pastorij - Laakdal;G344
Residentie PARK 51 - zone A;258
VME Ramberghof te Leuven, Naamsestraat 58-60;252
VME te Leuven (Kessel-Lo), Martelarenlaan 71/73, Residentie Ella;256
Vereniging van mede-eigenaars van het gebouw Oud-Zwembad te 3000 Leuven, Hogeschoolplein 2;206
Residentie Mistral;000283
Leyndecker II;D131
Residentie Edelweiss;L194
"VME ""Residentie De Mes"" te Leuven (Kessel-Lo), Tiensesteenweg 77-87";255
VME Papenakker;L218
Viva Immo BV;000313
Molenstraat;G355
*T* - DOMEIN BERENGOED;R332
Residentie Damn;314
PARKING DE LOFT;G256
Residentie De Bemme Ooststatiestraat 56-58 te Kontich;322
R - MOESTOEMAATHEIDE;G014
Cennet Inceoğlu;000342
E - ZIMMER II;R102
L - HERMELYN;G264
Cartijnenveld – Cartijnenveld B5;000314
